Altium Designer Pick and Place Locations
C:\Users\johan\git_bms\BMS\Slave-18-cell\Sources\Project Outputs for slave-18-ltc6813-1\Pick Place for slave(automotive_single-AFE).csv

========================================================================================================================
File Design Information:

Date:       06/05/26
Time:       20.03
Revision:   220b1bcf9f0417f11ad9042d6f011817b4293b7b
Variant:    automotive_single-AFE
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP1408_1","Testpoint_Square","TopLayer","Testpoint_S1","143.9133","52.7771","180","Testpoint, square"
"D1400_2","DFLS1100-7","TopLayer","DIOD-POWERDI123-2_V","46.7583","31.4846","90","1 A High Voltage Schottky Barrier Rectifier, 0.62 V, -55 to 175 degC, 2- Pin POWERDI123, Pb-Free, Tape and Reel"
"D1400_1","DFLS1100-7","TopLayer","DIOD-POWERDI123-2_V","100.0983","31.4846","90","1 A High Voltage Schottky Barrier Rectifier, 0.62 V, -55 to 175 degC, 2- Pin POWERDI123, Pb-Free, Tape and Reel"
"X200","690357282476","TopLayer","690357282476","126.9479","0.8934","180",""
"R707_2","10k","TopLayer","RESC1608X05N","47.2108","17.8272","90","SMD Resistor 10k 0603"
"R706_2","10k","TopLayer","RESC1608X05N","48.7983","17.8272","90","SMD Resistor 10k 0603"
"R705_2","10k","TopLayer","RESC1608X05N","50.3858","17.8272","90","SMD Resistor 10k 0603"
"R704_2","10k","TopLayer","RESC1608X05N","51.9733","17.8272","90","SMD Resistor 10k 0603"
"R703_2","10k","TopLayer","RESC1608X05N","53.5608","17.8272","90","SMD Resistor 10k 0603"
"R702_2","10k","TopLayer","RESC1608X05N","55.1483","17.8272","90","SMD Resistor 10k 0603"
"R701_2","10k","TopLayer","RESC1608X05N","56.7358","17.8272","90","SMD Resistor 10k 0603"
"R700_2","10k","TopLayer","RESC1608X05N","58.3233","17.8272","90","SMD Resistor 10k 0603"
"R707_1","10k","TopLayer","RESC1608X05N","75.8833","17.8529","90","SMD Resistor 10k 0603"
"R706_1","10k","TopLayer","RESC1608X05N","77.4708","17.8529","90","SMD Resistor 10k 0603"
"R705_1","10k","TopLayer","RESC1608X05N","79.0583","17.8529","90","SMD Resistor 10k 0603"
"R704_1","10k","TopLayer","RESC1608X05N","80.6458","17.8529","90","SMD Resistor 10k 0603"
"R703_1","10k","TopLayer","RESC1608X05N","82.2333","17.8529","90","SMD Resistor 10k 0603"
"R702_1","10k","TopLayer","RESC1608X05N","83.8208","17.8529","90","SMD Resistor 10k 0603"
"R701_1","10k","TopLayer","RESC1608X05N","85.4083","17.8529","90","SMD Resistor 10k 0603"
"R700_1","10k","TopLayer","RESC1608X05N","86.9958","17.8529","90","SMD Resistor 10k 0603"
"R107_2","10k","TopLayer","RESC1608X05N","73.6375","7.0271","180","SMD Resistor 10k 0603"
"R106_2","10k","TopLayer","RESC1608X05N","70.6375","7.0271","180","SMD Resistor 10k 0603"
"R105_2","10k","TopLayer","RESC1608X05N","67.6375","7.0271","180","SMD Resistor 10k 0603"
"R104_2","10k","TopLayer","RESC1608X05N","64.6375","7.0271","180","SMD Resistor 10k 0603"
"R103_2","10k","TopLayer","RESC1608X05N","61.6375","7.0271","180","SMD Resistor 10k 0603"
"R102_2","10k","TopLayer","RESC1608X05N","58.6372","7.0271","180","SMD Resistor 10k 0603"
"R101_2","10k","TopLayer","RESC1608X05N","55.6372","7.0271","180","SMD Resistor 10k 0603"
"R100_2","10k","TopLayer","RESC1608X05N","52.6372","7.0271","180","SMD Resistor 10k 0603"
"R107_1","10k","TopLayer","RESC1608X05N","102.2589","7.0528","180","SMD Resistor 10k 0603"
"R106_1","10k","TopLayer","RESC1608X05N","99.2589","7.0528","180","SMD Resistor 10k 0603"
"R105_1","10k","TopLayer","RESC1608X05N","96.2589","7.0528","180","SMD Resistor 10k 0603"
"R104_1","10k","TopLayer","RESC1608X05N","93.2589","7.0528","180","SMD Resistor 10k 0603"
"R103_1","10k","TopLayer","RESC1608X05N","90.2589","7.0528","180","SMD Resistor 10k 0603"
"R102_1","10k","TopLayer","RESC1608X05N","87.2589","7.0528","180","SMD Resistor 10k 0603"
"R101_1","10k","TopLayer","RESC1608X05N","84.2589","7.0528","180","SMD Resistor 10k 0603"
"R100_1","10k","TopLayer","RESC1608X05N","81.2589","7.0528","180","SMD Resistor 10k 0603"
"R1312_2","100R","TopLayer","RESC1608X05N","75.6308","24.8246","90","SMD Resistor 100R 0603"
"R1311_2","100R","TopLayer","RESC1608X05N","73.0908","24.8246","90","SMD Resistor 100R 0603"
"R1310_2","100R","TopLayer","RESC1608X05N","70.5508","24.8246","90","SMD Resistor 100R 0603"
"R1309_2","100R","TopLayer","RESC1608X05N","68.0108","24.8246","90","SMD Resistor 100R 0603"
"R1308_2","100R","TopLayer","RESC1608X05N","65.4708","24.8246","90","SMD Resistor 100R 0603"
"R1307_2","100R","TopLayer","RESC1608X05N","62.9308","24.8246","90","SMD Resistor 100R 0603"
"R1306_2","100R","TopLayer","RESC1608X05N","93.4108","24.8246","90","SMD Resistor 100R 0603"
"R1305_2","100R","TopLayer","RESC1608X05N","90.8708","24.8246","90","SMD Resistor 100R 0603"
"R1304_2","100R","TopLayer","RESC1608X05N","88.3308","24.8246","90","SMD Resistor 100R 0603"
"R1303_2","100R","TopLayer","RESC1608X05N","85.7908","24.8246","90","SMD Resistor 100R 0603"
"R1302_2","100R","TopLayer","RESC1608X05N","83.2508","24.8246","90","SMD Resistor 100R 0603"
"R1301_2","100R","TopLayer","RESC1608X05N","80.7108","24.8246","90","SMD Resistor 100R 0603"
"R1300_2","100R","TopLayer","RESC1608X05N","78.1708","24.8246","90","SMD Resistor 100R 0603"
"R1312_1","100R","TopLayer","RESC1608X05N","128.9708","24.8246","90","SMD Resistor 100R 0603"
"R1311_1","100R","TopLayer","RESC1608X05N","126.4308","24.8246","90","SMD Resistor 100R 0603"
"R1310_1","100R","TopLayer","RESC1608X05N","123.8908","24.8246","90","SMD Resistor 100R 0603"
"R1309_1","100R","TopLayer","RESC1608X05N","121.3508","24.8246","90","SMD Resistor 100R 0603"
"R1308_1","100R","TopLayer","RESC1608X05N","118.8108","24.8246","90","SMD Resistor 100R 0603"
"R1307_1","100R","TopLayer","RESC1608X05N","116.2708","24.8246","90","SMD Resistor 100R 0603"
"R1306_1","100R","TopLayer","RESC1608X05N","146.7508","24.8246","90","SMD Resistor 100R 0603"
"R1305_1","100R","TopLayer","RESC1608X05N","144.2108","24.8246","90","SMD Resistor 100R 0603"
"R1304_1","100R","TopLayer","RESC1608X05N","141.6708","24.8246","90","SMD Resistor 100R 0603"
"R1303_1","100R","TopLayer","RESC1608X05N","139.1308","24.8246","90","SMD Resistor 100R 0603"
"R1302_1","100R","TopLayer","RESC1608X05N","136.5908","24.8246","90","SMD Resistor 100R 0603"
"R1301_1","100R","TopLayer","RESC1608X05N","134.0508","24.8246","90","SMD Resistor 100R 0603"
"R1300_1","100R","TopLayer","RESC1608X05N","131.5108","24.8246","90","SMD Resistor 100R 0603"
"R1409_2","0R","TopLayer","RESC1608X05N","87.3983","53.2534","180","SMD Resistor 0R 0603"
"R1411_1","0R","TopLayer","RESC1608X05N","140.7383","50.3324","180","SMD Resistor 0R 0603"
"R1407_2","0R","TopLayer","RESC1608X05N","73.4283","56.4284","90","SMD Resistor 0R 0603"
"R1405_2","120R","TopLayer","RESC1608X05N","20.0883","24.2021","0","SMD Resistor 120R 0603"
"LD1400_2","green","TopLayer","LEDC1608X07N","79.7783","58.8096","0","TLMG1100-GS08"
"R1405_1","120R","TopLayer","RESC1608X05N","35.9633","24.2021","0","SMD Resistor 120R 0603"
"LD1400_1","green","TopLayer","LEDC1608X07N","133.4358","58.8096","0","TLMG1100-GS08"
"R800_2","10k","TopLayer","RESC1608X05N","41.0433","45.4746","0","SMD Resistor 10k 0603"
"R800_1","10k","TopLayer","RESC1608X05N","96.2883","45.4746","0","SMD Resistor 10k 0603"
"IC800_2","MCP9800A0T-M/OT","TopLayer","SOT-23-OT5_L","41.0433","42.6171","270","2-Wire High-Accuracy Temperature Sensor, Slave Address 000, 5-Pin SOT-23, -55°C to +125°C Temperature, Tape and Reel"
"C800_2","100n/50V","TopLayer","CAPC1608X08N","43.6833","43.3421","270","MLCC"
"IC800_1","MCP9800A0T-M/OT","TopLayer","SOT-23-OT5_L","96.6058","42.6171","270","2-Wire High-Accuracy Temperature Sensor, Slave Address 000, 5-Pin SOT-23, -55°C to +125°C Temperature, Tape and Reel"
"C801_1","100n/50V","TopLayer","CAPC1608X08N","99.4633","43.5696","270","MLCC"
"IC801_2","M24M02-DWMN3TP/K","TopLayer","SOIC127P600X175-8N","92.1408","43.6721","270","Automotive 2-Mbit serial I²C 
bus EEPROM with 1 MHz clock"
"C801_2","100n/50V","TopLayer","CAPC1608X08N","93.5158","39.1396","0","MLCC"
"C700_2","100n/50V","TopLayer","CAPC1608X08N","48.5046","9.7559","180","MLCC"
"C700_1","100n/50V","TopLayer","CAPC1608X08N","77.8733","8.9621","180","MLCC"
"C104_2","1u/50V","TopLayer","CAPC2012X14N","24.8508","50.8721","90","MLCC"
"C107_2","10n/100V","TopLayer","CAPC1608X08N","23.8783","53.7172","180","MLCC"
"R109_2","100R","TopLayer","RESC1608X05N","20.7033","53.7172","0","SMD Resistor 100R 0603"
"C105_2","1u/50V","TopLayer","CAPC2012X14N","9.3114","51.7850","90","MLCC"
"C100_2","100n/50V","TopLayer","CAPC1608X08N","75.9683","4.8346","90","MLCC"
"C103_2","1u/50V","TopLayer","CAPC2012X14N","73.9046","15.7884","270","MLCC"
"C106_2","10n/100V","TopLayer","CAPC1608X08N","87.3983","54.6821","0","MLCC"
"R108_2","100R","TopLayer","RESC1608X05N","71.3646","19.5984","0","SMD Resistor 100R 0603"
"C102_2","1u/50V","TopLayer","CAPC2012X14N","2.1720","48.8602","0","MLCC"
"C101_2","1u/50V","TopLayer","CAPC2012X14N","58.1883","14.8359","90","MLCC"
"R1409_1","0R","TopLayer","RESC1608X05N","140.7383","53.2534","180","SMD Resistor 0R 0603"
"C104_1","1u/50V","TopLayer","CAPC2012X14N","21.6558","55.5587","0","MLCC"
"C107_1","10n/100V","TopLayer","CAPC1608X08N","23.5808","61.0321","180","MLCC"
"R109_1","100R","TopLayer","RESC1608X05N","20.7233","61.0321","0","SMD Resistor 100R 0603"
"C105_1","1u/50V","TopLayer","CAPC2012X14N","9.2298","59.7101","90","MLCC"
"C100_1","100n/50V","TopLayer","CAPC1608X08N","104.7021","4.8346","90","MLCC"
"X501","690357280476","TopLayer","690357280476","34.5346","0.8934","180",""
"X500","690357280476","TopLayer","690357280476","44.6946","0.8934","180",""
"R1419_2","1k2","TopLayer","RESC1608X05N","90.1408","48.7258","90","SMD Resistor 1k2 0603"
"R1417_2","0R","TopLayer","RESC1608X05N","87.3783","40.5970","180","SMD Resistor 0R 0603"
"R1400_2","1k2","TopLayer","RESC1608X05N","75.3333","53.7797","90","SMD Resistor 1k2 0603"
"R1411_2","0R","TopLayer","RESC1608X05N","87.3983","50.0784","180","SMD Resistor 0R 0603"
"R1413_2","0R","TopLayer","RESC1608X05N","87.3983","46.9034","180","SMD Resistor 0R 0603"
"R1419_1","1k2","TopLayer","RESC1608X05N","143.2783","48.4909","90","SMD Resistor 1k2 0603"
"R1407_1","0R","TopLayer","RESC1608X05N","127.0858","56.4284","90","SMD Resistor 0R 0603"
"R1400_1","1k2","TopLayer","RESC1608X05N","128.9908","53.8296","90","SMD Resistor 1k2 0603"
"R1413_1","0R","TopLayer","RESC1608X05N","140.7383","46.9034","180","SMD Resistor 0R 0603"
"R1415_1","0R","TopLayer","RESC1608X05N","140.7383","43.5696","180","SMD Resistor 0R 0603"
"TP1401_2","Testpoint_Square","TopLayer","Testpoint_S1","90.5733","54.2059","180","Testpoint, square"
"TP1402_2","Testpoint_Square","TopLayer","Testpoint_S1","90.5733","55.6346","180","Testpoint, square"
"TP1403_2","Testpoint_Square","TopLayer","Testpoint_S1","82.3183","58.8096","0","Testpoint, square"
"C1402_2","1u/50V","TopLayer","CAPC2012X14N","82.3183","54.0471","270","MLCC"
"C1403_2","1u/50V","TopLayer","CAPC2012X14N","80.4133","54.0471","270","MLCC"
"C1401_2","1u/50V","TopLayer","CAPC2012X14N","84.2233","54.0471","270","MLCC"
"C1400_2","100n/200V","TopLayer","CAPC3216X18N","70.5708","54.6821","90","MLCC"
"R1404_2","1M","TopLayer","RESC1608X05N","78.5083","53.7797","90","SMD Resistor 1M 0603"
"R1415_2","0R","TopLayer","RESC1608X05N","87.3983","43.7284","180","SMD Resistor 0R 0603"
"TR1400_2","HM2102NL","TopLayer","HM2102NL","17.0886","15.6194","90","Pulse HM2102NL BMS Transformer"
"R1402_2","820R","TopLayer","RESC1608X05N","76.9208","53.7797","270","SMD Resistor 820R 0603"
"R1401_2","100R","TopLayer","RESC2012X05N","68.6658","54.6821","270","SMD Resistor 100R 0805"
"C1405_2","100p/50V","TopLayer","CAPC1608X08N","16.2783","24.8371","270","MLCC"
"C1404_2","100p/50V","TopLayer","CAPC1608X08N","17.8658","24.8371","270","MLCC"
"R1418_2","120R","TopLayer","RESC1608X05N","14.0558","24.2021","0","SMD Resistor 120R 0603"
"R1403_2","270R","TopLayer","RESC1608X05N","77.0796","58.8096","0","SMD Resistor 270R 0603"
"TR1400_1","HM2102NL","TopLayer","HM2102NL","32.9636","15.6194","90","Pulse HM2102NL BMS Transformer"
"R1402_1","820R","TopLayer","RESC1608X05N","130.5018","53.8296","270","SMD Resistor 820R 0603"
"R1401_1","100R","TopLayer","RESC2012X05N","122.6408","54.6821","270","SMD Resistor 100R 0805"
"C1405_1","100p/50V","TopLayer","CAPC1608X08N","32.1533","24.8371","270","MLCC"
"C1404_1","100p/50V","TopLayer","CAPC1608X08N","33.7408","24.8371","270","MLCC"
"R1404_1","1M","TopLayer","RESC1608X05N","131.9357","53.8296","90","SMD Resistor 1M 0603"
"R1417_1","0R","TopLayer","RESC1608X05N","140.7383","40.3946","180","SMD Resistor 0R 0603"
"R1418_1","120R","TopLayer","RESC1608X05N","29.9308","24.2021","0","SMD Resistor 120R 0603"
"R1403_1","270R","TopLayer","RESC1608X05N","130.7858","58.8097","0","SMD Resistor 270R 0603"
"TP1401_1","Testpoint_Square","TopLayer","Testpoint_S1","143.8933","54.2059","0","Testpoint, square"
"TP1402_1","Testpoint_Square","TopLayer","Testpoint_S1","143.9133","55.6346","0","Testpoint, square"
"TP1403_1","Testpoint_Square","TopLayer","Testpoint_S1","135.9758","58.8096","180","Testpoint, square"
"C1402_1","1u/50V","TopLayer","CAPC2012X14N","135.2773","54.0471","270","MLCC"
"C1403_1","1u/50V","TopLayer","CAPC2012X14N","133.4993","54.0471","270","MLCC"
"C1401_1","1u/50V","TopLayer","CAPC2012X14N","137.1356","54.0471","270","MLCC"
"C1400_1","100n/200V","TopLayer","CAPC3216X18N","124.5458","54.6821","90","MLCC"
"IC801_1","M24M02-DWMN3TP/K","TopLayer","SOIC127P600X175-8N","145.1833","43.4109","270","Automotive 2-Mbit serial I²C 
bus EEPROM with 1 MHz clock"
"Z1311_2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","78.1708","30.5397","0","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1310_2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","75.6308","33.0797","0","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1309_2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","73.0908","30.5397","0","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1308_2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","70.5508","33.0797","0","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1307_2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","68.0108","30.5397","0","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1306_2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","65.4708","33.0797","0","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1305_2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","93.4108","30.5397","0","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1304_2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","90.8708","33.0797","0","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1303_2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","88.3308","30.5397","0","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1302_2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","85.7908","33.0797","0","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1301_2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","83.2508","30.5397","0","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1300_2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","80.7108","33.0797","0","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"C1312_2","10n/100V","TopLayer","CAPC1608X08N","64.2008","27.9997","270","MLCC"
"C1313_2","10n/100V","TopLayer","CAPC1608X08N","66.7408","27.9997","270","MLCC"
"C1314_2","10n/100V","TopLayer","CAPC1608X08N","69.2808","27.9997","270","MLCC"
"C1315_2","10n/100V","TopLayer","CAPC1608X08N","71.8208","27.9997","270","MLCC"
"C1316_2","10n/100V","TopLayer","CAPC1608X08N","74.3608","27.9997","270","MLCC"
"C1317_2","10n/100V","TopLayer","CAPC1608X08N","76.9008","27.9997","270","MLCC"
"C1300_2","10n/100V","TopLayer","CAPC1608X08N","79.4408","27.9997","270","MLCC"
"C1301_2","10n/100V","TopLayer","CAPC1608X08N","81.9808","27.9997","270","MLCC"
"C1302_2","10n/100V","TopLayer","CAPC1608X08N","84.5208","27.9997","270","MLCC"
"C1303_2","10n/100V","TopLayer","CAPC1608X08N","87.0608","27.9997","270","MLCC"
"C1304_2","10n/100V","TopLayer","CAPC1608X08N","89.6008","27.9997","270","MLCC"
"C1305_2","10n/100V","TopLayer","CAPC1608X08N","92.1408","27.9997","270","MLCC"
"F300","fuse_0.5A_0448.500MR","TopLayer","LITTLEFUSE_448","107.3808","12.4422","90","Fuse, Surface Mount, NANO2 Series, 500 mA, 125 VAC, 32 VDC, Very Fast Acting, SMD"
"F320","fuse_0.5A_0448.500MR","TopLayer","LITTLEFUSE_448","148.0408","12.4546","90","Fuse, Surface Mount, NANO2 Series, 500 mA, 125 VAC, 32 VDC, Very Fast Acting, SMD"
"F307","fuse_0.25A_0466.250NR","TopLayer","LITTLEFUSE_466","122.0058","9.9146","90","Fuse, Surface Mount, 466 Series, 250 mA, 125 VAC, 125 VDC, Very Fast Acting, 1206"
"F308","fuse_0.25A_0466.250NR","TopLayer","LITTLEFUSE_466","123.9108","14.9946","90","Fuse, Surface Mount, 466 Series, 250 mA, 125 VAC, 125 VDC, Very Fast Acting, 1206"
"F309","fuse_0.25A_0466.250NR","TopLayer","LITTLEFUSE_466","125.8158","9.9146","90","Fuse, Surface Mount, 466 Series, 250 mA, 125 VAC, 125 VDC, Very Fast Acting, 1206"
"F310","fuse_0.25A_0466.250NR","TopLayer","LITTLEFUSE_466","127.7208","14.9946","90","Fuse, Surface Mount, 466 Series, 250 mA, 125 VAC, 125 VDC, Very Fast Acting, 1206"
"F311","fuse_0.25A_0466.250NR","TopLayer","LITTLEFUSE_466","129.6258","9.9146","90","Fuse, Surface Mount, 466 Series, 250 mA, 125 VAC, 125 VDC, Very Fast Acting, 1206"
"F312","fuse_0.25A_0466.250NR","TopLayer","LITTLEFUSE_466","131.5308","14.9946","90","Fuse, Surface Mount, 466 Series, 250 mA, 125 VAC, 125 VDC, Very Fast Acting, 1206"
"F313","fuse_0.25A_0466.250NR","TopLayer","LITTLEFUSE_466","133.4358","9.9146","90","Fuse, Surface Mount, 466 Series, 250 mA, 125 VAC, 125 VDC, Very Fast Acting, 1206"
"F314","fuse_0.25A_0466.250NR","TopLayer","LITTLEFUSE_466","135.3408","14.9946","90","Fuse, Surface Mount, 466 Series, 250 mA, 125 VAC, 125 VDC, Very Fast Acting, 1206"
"F315","fuse_0.25A_0466.250NR","TopLayer","LITTLEFUSE_466","137.2458","9.9146","90","Fuse, Surface Mount, 466 Series, 250 mA, 125 VAC, 125 VDC, Very Fast Acting, 1206"
"F316","fuse_0.25A_0466.250NR","TopLayer","LITTLEFUSE_466","139.1508","14.9946","90","Fuse, Surface Mount, 466 Series, 250 mA, 125 VAC, 125 VDC, Very Fast Acting, 1206"
"F317","fuse_0.25A_0466.250NR","TopLayer","LITTLEFUSE_466","141.0558","9.9146","90","Fuse, Surface Mount, 466 Series, 250 mA, 125 VAC, 125 VDC, Very Fast Acting, 1206"
